epoch,iter,loss_cons,loss_det_A,loss_det_B,num_pairs,dim_diff,angle_diff
4,400,0.231226,16.6098,16.214,25,0.043787,0.187439
4,408,0.179744,16.2453,16.61,30,0.031066,0.148678
4,416,0.191819,16.641,16.4116,33,0.03543,0.15639
4,424,0.216633,17.905,16.6405,26,0.036623,0.18001
4,432,0.235368,19.8565,19.0159,18,0.039539,0.195828
4,440,0.212283,17.7373,16.983,27,0.044749,0.167534
4,448,0.198029,17.6425,16.6136,19,0.035577,0.162452
4,456,0.243498,17.0475,17.01,29,0.039183,0.204315
5,0,0.210989,18.6882,18.0172,41,0.037844,0.173145
5,8,0.240523,16.0184,15.3341,23,0.041092,0.19943
5,16,0.220651,16.9135,16.7614,21,0.045265,0.175386
5,24,0.201061,19.3059,20.3191,37,0.043199,0.157862
5,32,0.2057,15.4531,15.0517,12,0.040406,0.165294
5,40,0.223402,17.12,15.9763,29,0.037771,0.185632
5,48,0.203069,16.6638,16.148,26,0.033892,0.169177
5,56,0.19649,16.977,16.2707,32,0.035495,0.160995
5,64,0.208073,19.8344,19.3661,21,0.047654,0.160419
5,72,0.211779,16.7768,18.0331,12,0.054465,0.157314
5,80,0.242792,19.0146,17.7514,41,0.04297,0.199822
5,88,0.254429,19.2507,20.1388,12,0.045576,0.208853
5,96,0.207264,15.7722,16.5517,30,0.043065,0.164198
5,104,0.245547,16.5171,17.5719,20,0.046189,0.199358
5,112,0.235504,17.4191,17.3213,29,0.039913,0.195591
5,120,0.197874,16.2199,16.7073,27,0.031463,0.166411
5,128,0.270333,18.357,18.6947,49,0.041566,0.228768
5,136,0.222639,16.2685,15.2859,25,0.034146,0.188493
5,144,0.193278,15.9681,16.4036,36,0.032254,0.161024
5,152,0.209455,12.8179,13.2511,14,0.029711,0.179744
5,160,0.243739,18.8336,18.8037,21,0.038285,0.205453
5,168,0.191356,16.2784,15.6634,16,0.033866,0.157489
5,176,0.188077,16.4758,15.9588,16,0.029168,0.15891
5,184,0.256297,16.019,15.1067,19,0.035638,0.220659
